ObjectID,extendPortTotalPrevious15MinDnDiscByteCounter,extendPortTotalPrevious15MinDnDiscFrameCounter,extendPortTotalPrevious15MinDnFwdByteCounter,extendPortTotalPrevious15MinDnFwdFrameCounter,extendPortTotalPrevious15MinTimeMeasured,extendPortTotalPrevious15MinUpDiscByteCounter,extendPortTotalPrevious15MinUpDiscFrameCounter,extendPortTotalPrevious15MinUpFwdByteCounter,extendPortTotalPrevious15MinUpFwdFrameCounter
R1.S1.LT2.PON1.ONT4.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON2.ONT21.C14.P1,0,0,2558521373,1932058,900,0,0,136592787,924396
R1.S1.LT3.PON5.ONT31.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON8.ONT31.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON5.ONT59.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON15.ONT19.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON12.ONT8.SERV1,0,0,7776,28,900,0,0,48054,84
R1.S1.LT6.PON8.ONT5.C14.P1,0,0,27385071,22189,900,0,0,2316802,16326
R1.S1.LT7.PON9.ONT10.SERV1,0,0,109630,191,900,0,0,232238,263
R1.S1.LT6.PON10.ONT15.C14.P1,0,0,276463543,216778,900,0,0,40925115,82750
R1.S1.LT6.PON11.ONT11.SERV1,0,0,7312,28,900,0,0,48260,85
R1.S1.LT5.PON4.ONT26.C14.P1,0,0,4083,58,900,0,0,3241,46
R1.S1.LT4.PON11.ONT23.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON8.ONT18.C14.P1,0,0,2911,40,900,0,0,2589,36
R1.S1.LT5.PON16.ONT31.SERV1,0,0,32354,68,900,0,0,114817,154
R1.S1.LT8.PON13.ONT43.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON10.ONT55.SERV1,0,0,4933,22,900,0,0,63114,105
R1.S1.LT3.PON7.ONT38.C14.P1,0,0,104407185,75131,900,0,0,705958,3771
R1.S1.LT4.PON2.ONT6.SERV1,0,0,5576,24,900,0,0,53027,91
R1.S1.LT4.PON11.ONT29.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON5.ONT5.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON12.ONT11.C14.P1,0,0,5029,48,900,0,0,9885,48
R1.S1.LT5.PON3.ONT23.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON16.ONT18.SERV1,0,0,92170,163,900,0,0,197929,240
R1.S1.LT7.PON10.ONT29.SERV1,0,0,56126,106,900,0,0,149266,193
R1.S1.LT4.PON3.ONT4.SERV1,0,0,4397,21,900,0,0,63364,105
R1.S1.LT3.PON7.ONT30.SERV1,0,0,88125,161,900,0,0,193265,233
R1.S1.LT3.PON7.ONT23.SERV1,0,0,67080,127,900,0,0,181631,241
R1.S1.LT4.PON3.ONT17.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON5.ONT57.SERV1,0,0,136232,239,900,0,0,257562,310
R1.S1.LT5.PON3.ONT49.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON7.ONT49.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON13.ONT5.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON1.ONT45.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON12.ONT9.SERV1,0,0,2483,7,900,0,0,1512,4
R1.S1.LT3.PON5.ONT46.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON5.ONT26.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON13.ONT19.C14.P1,0,0,624871928,537800,900,0,0,92750712,224299
R1.S1.LT7.PON11.ONT34.SERV1,0,0,5170,26,900,0,0,60334,105
R1.S1.LT2.PON13.ONT45.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON16.ONT38.C14.P1,0,0,2070626448,1414127,900,0,0,59986180,700070
R1.S1.LT3.PON5.ONT52.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON10.ONT12.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON9.ONT6.SERV1,0,0,4670,25,900,0,0,52541,93
R1.S1.LT6.PON5.ONT37.SERV1,0,0,86392,159,900,0,0,194648,231
R1.S1.LT6.PON10.ONT14.C14.P1,0,0,4151,59,900,0,0,3305,47
R1.S1.LT5.PON13.ONT63.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON13.ONT39.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON2.ONT27.C14.P1,0,0,49915186,37275,900,0,0,1201231,10475
R1.S1.LT2.PON1.ONT38.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON1.ONT32.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON8.ONT45.C14.P1,0,0,164962584,125335,900,0,0,7091517,52967
R1.S1.LT5.PON3.ONT44.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON11.ONT9.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON2.ONT1.C14.P1,0,0,479075563,352083,900,0,0,22719429,190695
R1.S1.LT5.PON15.ONT17.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON15.ONT23.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON13.ONT6.SERV1,0,0,3345,20,900,0,0,66015,110
R1.S1.LT4.PON12.ONT14.SERV1,0,0,3532,23,900,0,0,66529,114
R1.S1.LT6.PON8.ONT19.C14.P1,0,0,394803092,345806,900,0,0,54022837,173509
R1.S1.LT4.PON2.ONT12.SERV1,0,0,6796,28,900,0,0,53646,94
R1.S1.LT5.PON2.ONT41.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON14.ONT36.SERV1,0,0,123058,217,900,0,0,250630,286
R1.S1.LT4.PON2.ONT18.SERV1,0,0,6242,27,900,0,0,50862,90
R1.S1.LT2.PON14.ONT9.SERV1,0,0,3772,19,900,0,0,61199,101
R1.S1.LT7.PON12.ONT7.C14.P1,0,0,408701513,313108,900,0,0,21691306,138664
R1.S1.LT5.PON13.ONT2.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON14.ONT16.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON12.ONT11.SERV1,0,0,5520,24,900,0,0,61439,104
R1.S1.LT4.PON11.ONT29.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON3.ONT29.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON15.ONT41.SERV1,0,0,6199,26,900,0,0,48250,85
R1.S1.LT8.PON15.ONT47.C14.P1,0,0,427957371,327671,900,0,0,28849258,214133
R1.S1.LT5.PON4.ONT16.C14.P1,0,0,4233,60,900,0,0,3387,48
R1.S1.LT6.PON11.ONT5.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON7.ONT9.C14.P1,0,0,281847174,219020,900,0,0,7084284,55119
R1.S1.LT2.PON2.ONT25.SERV1,0,0,89278,160,900,0,0,201434,235
R1.S1.LT6.PON5.ONT63.SERV1,0,0,4638,25,900,0,0,63849,110
R1.S1.LT4.PON10.ONT54.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON8.ONT4.SERV1,0,0,100186,179,900,0,0,199551,228
R1.S1.LT5.PON3.ONT55.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON10.ONT49.SERV1,0,0,98127,174,900,0,0,209593,260
R1.S1.LT5.PON3.ONT61.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON3.ONT12.C14.P1,0,0,1380463,1985,900,0,0,251536,2115
R1.S1.LT3.PON7.ONT37.C14.P1,0,0,11234,126,900,0,0,37336,378
R1.S1.LT3.PON5.ONT26.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON3.ONT50.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON13.ONT6.C14.P1,0,0,5011338,9442,900,0,0,1693931,8711
R1.S1.LT3.PON5.ONT32.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON1.ONT38.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON6.ONT44.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON13.ONT63.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON13.ONT39.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON5.ONT54.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON2.ONT7.C14.P1,0,0,148612229,116626,900,0,0,4518527,30597
R1.S1.LT6.PON10.ONT20.C14.P1,0,0,844338634,625542,900,0,0,23777062,122454
R1.S1.LT3.PON7.ONT50.C14.P1,0,0,51590425,42237,900,0,0,3249780,17621
R1.S1.LT6.PON11.ONT6.C14.P1,0,0,50225312,38776,900,0,0,2602133,22093
R1.S1.LT7.PON9.ONT30.C14.P1,0,0,189752226,155202,900,0,0,10200987,62565
R1.S1.LT5.PON3.ONT44.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON9.ONT24.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON13.ONT11.SERV1,0,0,87914,161,900,0,0,190025,228
R1.S1.LT6.PON8.ONT39.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON6.ONT54.SERV1,0,0,89355,163,900,0,0,193100,233
R1.S1.LT3.PON7.ONT24.C14.P1,0,0,36649187,52750,900,0,0,5388253,34271
R1.S1.LT2.PON1.ONT12.SERV1,0,0,106912,194,900,0,0,221497,264
R1.S1.LT8.PON15.ONT37.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON14.ONT4.C14.P1,0,0,20979,84,900,0,0,42696,84
R1.S1.LT5.PON4.ONT6.SERV1,0,0,5671,26,900,0,0,63101,108
R1.S1.LT2.PON1.ONT53.C14.P1,0,0,118232,365,900,0,0,74697,617
R1.S1.LT6.PON8.ONT24.SERV1,0,0,89678,164,900,0,0,180370,236
R1.S1.LT2.PON4.ONT12.C14.P1,0,0,1133717,1779,900,0,0,295663,1812
R1.S1.LT5.PON13.ONT50.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON2.ONT43.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON15.ONT21.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON15.ONT1.C14.P1,0,0,295401,749,900,0,0,149188,645
R1.S1.LT3.PON5.ONT39.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON5.ONT52.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON8.ONT51.SERV1,0,0,4097,24,900,0,0,61976,107
R1.S1.LT6.PON11.ONT18.C14.P1,0,0,2100,28,900,0,0,2044,28
R1.S1.LT7.PON9.ONT4.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON11.ONT35.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON4.ONT22.C14.P1,0,0,68682,329,900,0,0,90794,561
R1.S1.LT5.PON4.ONT16.SERV1,0,0,5631,25,900,0,0,55862,96
R1.S1.LT2.PON14.ONT15.SERV1,0,0,81743,147,900,0,0,185627,214
R1.S1.LT2.PON13.ONT24.SERV1,0,0,81425,151,900,0,0,188334,233
R1.S1.LT3.PON8.ONT7.C14.P1,0,0,80083680,61008,900,0,0,4381461,31946
R1.S1.LT5.PON16.ONT51.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON2.ONT19.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON10.ONT43.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON16.ONT25.C14.P1,0,0,1367498,3171,900,0,0,579910,3434
R1.S1.LT6.PON7.ONT15.C14.P1,0,0,14715581,21618,900,0,0,11761660,15894
R1.S1.LT5.PON4.ONT34.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON15.ONT17.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON3.ONT12.SERV1,0,0,5680,26,900,0,0,58382,101
R1.S1.LT5.PON13.ONT8.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON12.ONT3.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON7.ONT37.SERV1,0,0,63551,121,900,0,0,174737,228
R1.S1.LT3.PON7.ONT43.C14.P1,0,0,154275059,112109,900,0,0,4458937,35996
R1.S1.LT7.PON10.ONT49.C14.P1,0,0,3504,49,900,0,0,2924,41
R1.S1.LT4.PON12.ONT4.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON3.ONT7.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON9.ONT22.C14.P1,0,0,2768659,4302,900,0,0,564386,3682
R1.S1.LT5.PON14.ONT18.C14.P1,0,0,0,0,900,0,0,0,0
