ObjectID,gponOntOntsideAggGemIntervalReceiveBlocksCounter64,gponOntOntsideAggGemIntervalReceiveFrags,gponOntOntsideAggGemIntervalTransmitBlocksCounter64,gponOntOntsideAggGemIntervalTransmitFrags
R1.S1.LT4.PON2.ONT19,3590081,129484,166640,59224
R1.S1.LT2.PON4.ONT12,23776,1855,7393,2197
R1.S1.LT3.PON7.ONT14,8685,3746,327,165
R1.S1.LT3.PON8.ONT17,240,102,1407,463
R1.S1.LT4.PON1.ONT17,2886528,99739,63339,29505
R1.S1.LT4.PON2.ONT16,5511763,198060,160370,65510
R1.S1.LT2.PON4.ONT13,4616860,160901,180189,82347
R1.S1.LT3.PON7.ONT15,15638,3995,5908,1766
R1.S1.LT3.PON8.ONT14,74,50,314,117
R1.S1.LT4.PON2.ONT17,3650825,130426,165185,68317
R1.S1.LT5.PON4.ONT13,13224,1443,6668,1825
R1.S1.LT2.PON1.ONT13,3480,1378,3728,244
R1.S1.LT2.PON2.ONT12,3243,781,6443,1757
R1.S1.LT4.PON3.ONT13,795510,30605,33117,11718
R1.S1.LT6.PON5.ONT13,4144758,158287,262986,94963
R1.S1.LT6.PON6.ONT12,0,0,0,0
R1.S1.LT6.PON7.ONT19,3510476,129501,186353,52931
R1.S1.LT6.PON8.ONT18,1708,202,3892,979
R1.S1.LT6.PON9.ONT17,4419613,150637,95783,54014
R1.S1.LT7.PON9.ONT14,2637,742,4441,614
R1.S1.LT2.PON2.ONT13,5290622,275719,4016525,263611
R1.S1.LT4.PON3.ONT10,26446751,923225,978663,396782
R1.S1.LT5.PON4.ONT10,381,189,1160,373
R1.S1.LT6.PON5.ONT10,12049094,425092,363934,162733
R1.S1.LT6.PON6.ONT13,8740,2008,6529,2170
R1.S1.LT6.PON7.ONT16,88,60,318,87
R1.S1.LT6.PON8.ONT19,8176556,354190,1136915,178215
R1.S1.LT7.PON9.ONT15,277,171,337,140
R1.S1.LT5.PON4.ONT11,713147,29014,38718,8666
R1.S1.LT2.PON1.ONT11,18506074,635575,442937,202331
R1.S1.LT2.PON2.ONT10,4775074,182472,381273,164836
R1.S1.LT3.PON7.ONT18,3861,2143,310,152
R1.S1.LT4.PON3.ONT11,3475005,150780,993573,105903
R1.S1.LT6.PON5.ONT11,10124743,333569,206051,83860
R1.S1.LT6.PON6.ONT10,538094,24998,58096,16340
R1.S1.LT6.PON7.ONT17,4792959,162049,100308,45250
R1.S1.LT6.PON8.ONT16,2402597,113672,373858,91250
R1.S1.LT6.PON9.ONT15,2101,426,4215,1204
R1.S1.LT3.PON7.ONT19,9423,3596,4288,1196
R1.S1.LT3.PON8.ONT18,11351695,632735,7750130,494637
R1.S1.LT4.PON1.ONT18,774717,29783,38772,8687
R1.S1.LT6.PON6.ONT11,13257215,454664,530665,238424
R1.S1.LT6.PON7.ONT14,1914511,68198,250504,44680
R1.S1.LT6.PON8.ONT17,8880435,326146,291600,126505
R1.S1.LT2.PON13.ONT27,26704960,1011725,1095863,419113
R1.S1.LT7.PON11.ONT26,0,0,0,0
R1.S1.LT2.PON13.ONT28,5497926,244562,202113,71107
R1.S1.LT2.PON13.ONT26,1599,195,3640,860
R1.S1.LT2.PON14.ONT29,5767304,216004,235909,112151
R1.S1.LT2.PON14.ONT22,2567,275,5056,1180
R1.S1.LT5.PON16.ONT27,2226204,84260,140681,50879
R1.S1.LT5.PON16.ONT28,1098857,38043,47726,22104
R1.S1.LT2.PON13.ONT29,4398163,178036,119826,21087
R1.S1.LT2.PON14.ONT20,13167285,479500,622391,228184
R1.S1.LT5.PON16.ONT25,30821,3416,16800,4520
R1.S1.LT7.PON11.ONT28,6037520,242664,1541495,171663
R1.S1.LT8.PON15.ONT17,4600056,262975,1296675,124486
R1.S1.LT2.PON13.ONT20,2038,249,4274,1039
R1.S1.LT8.PON15.ONT14,2101,434,3697,866
R1.S1.LT2.PON14.ONT24,245155,11662,22568,7189
R1.S1.LT5.PON16.ONT29,3056525,112287,215681,57331
R1.S1.LT7.PON10.ONT29,15266,1189,6883,1121
R1.S1.LT2.PON14.ONT21,2030,236,4263,998
R1.S1.LT7.PON11.ONT29,7657780,302423,2255393,184432
R1.S1.LT6.PON10.ONT22,3193820,173685,421299,108779
R1.S1.LT6.PON11.ONT21,13610,2079,32982,9228
R1.S1.LT7.PON11.ONT22,783822,355735,9361047,506475
R1.S1.LT2.PON13.ONT24,11064389,400883,352723,170940
R1.S1.LT5.PON16.ONT20,70811779,2534255,2590075,1134376
R1.S1.LT8.PON15.ONT18,186,79,1275,426
R1.S1.LT2.PON13.ONT21,2638816,91075,58790,25784
R1.S1.LT6.PON10.ONT20,17411497,640533,494881,126204
R1.S1.LT7.PON11.ONT20,1421295,52218,57066,18758
R1.S1.LT2.PON13.ONT22,18739710,671027,809252,315695
R1.S1.LT6.PON11.ONT20,210068,9024,27302,9626
R1.S1.LT2.PON14.ONT26,200355,15005,102738,14324
R1.S1.LT2.PON14.ONT27,2321,295,4872,1081
R1.S1.LT2.PON14.ONT28,14626511,519701,754143,363679
R1.S1.LT2.PON14.ONT25,1554202,72377,327297,45190
R1.S1.LT3.PON7.ONT41,9912,3875,5762,1573
R1.S1.LT5.PON16.ONT1,42125,2570,13006,3357
R1.S1.LT6.PON12.ONT2,1223350,50917,77346,23271
R1.S1.LT3.PON7.ONT42,3280,1746,1403,445
R1.S1.LT3.PON8.ONT41,1011206,37244,34095,12885
R1.S1.LT5.PON16.ONT2,18907903,834347,3690465,440687
R1.S1.LT6.PON8.ONT40,1530967,63408,323695,43531
R1.S1.LT3.PON8.ONT42,720789,29510,73988,20752
R1.S1.LT6.PON10.ONT2,634201,23877,35486,9210
R1.S1.LT6.PON11.ONT1,869019,37955,98350,16508
R1.S1.LT7.PON9.ONT49,1482792,266622,6248246,287674
R1.S1.LT7.PON11.ONT2,2605499,87539,66396,26202
R1.S1.LT3.PON7.ONT40,7598953,305155,166765,40454
R1.S1.LT6.PON5.ONT45,240539,11139,34545,8663
R1.S1.LT6.PON9.ONT49,2842732,108807,92687,31657
R1.S1.LT6.PON11.ONT2,996589,39627,40831,20345
R1.S1.LT3.PON7.ONT45,2083536,78123,75418,30991
R1.S1.LT6.PON7.ONT44,3341367,122832,138089,52038
R1.S1.LT6.PON8.ONT43,6939401,248426,289545,118892
R1.S1.LT6.PON9.ONT42,2928,285,5478,1216
R1.S1.LT3.PON7.ONT46,7578,3359,1567,520
R1.S1.LT4.PON12.ONT1,9010090,349122,116182,44583
R1.S1.LT6.PON7.ONT41,1025747,71926,184836,44509
R1.S1.LT6.PON8.ONT44,12734669,443034,326295,146818
R1.S1.LT7.PON9.ONT40,10068727,364561,420564,172722
R1.S1.LT3.PON7.ONT43,3025943,112639,83630,31655
R1.S1.LT4.PON12.ONT2,1866306,72002,85711,30969
R1.S1.LT4.PON13.ONT1,223,75,1065,185
R1.S1.LT6.PON8.ONT41,279,84,785,273
R1.S1.LT6.PON9.ONT40,1316557,50507,74945,28763
R1.S1.LT7.PON12.ONT1,2235,261,4464,894
R1.S1.LT3.PON7.ONT44,6725,3393,1124,384
R1.S1.LT3.PON8.ONT43,4780,1207,18121,7873
R1.S1.LT4.PON13.ONT2,207,71,934,112
R1.S1.LT6.PON8.ONT42,3179006,118965,121840,35979
R1.S1.LT6.PON12.ONT1,1547417,63267,105805,28214
R1.S1.LT7.PON12.ONT2,4399107,160467,149071,56762
R1.S1.LT6.PON9.ONT46,2019,1366,1218,398
R1.S1.LT7.PON9.ONT43,2492744,86574,149946,63105
R1.S1.LT8.PON15.ONT28,4150,906,7398,1819
R1.S1.LT6.PON7.ONT45,10923016,398524,466909,126956
R1.S1.LT6.PON9.ONT43,24914789,873952,594605,279918
R1.S1.LT7.PON9.ONT44,6995085,283281,163334,45778
R1.S1.LT8.PON15.ONT25,4469885,156967,171091,80003
R1.S1.LT6.PON8.ONT45,3448673,130017,151672,54356
R1.S1.LT6.PON9.ONT44,4226396,160447,201579,85614
R1.S1.LT7.PON9.ONT41,653877,34736,119645,25078
R1.S1.LT8.PON15.ONT26,5042805,184362,245124,86771
R1.S1.LT6.PON7.ONT43,5838165,192383,234877,107666
R1.S1.LT6.PON8.ONT46,48369365,1845206,3002532,1077885
R1.S1.LT6.PON9.ONT41,2024910,85742,96810,27489
R1.S1.LT7.PON9.ONT42,12180766,457058,607683,187282
R1.S1.LT8.PON15.ONT29,224,106,1406,486
R1.S1.LT7.PON9.ONT45,15250,1844,10489,2354
R1.S1.LT6.PON9.ONT45,13407345,521471,380107,185379
R1.S1.LT8.PON15.ONT27,210,104,1328,447
R1.S1.LT6.PON6.ONT49,531,249,1680,658
R1.S1.LT6.PON11.ONT3,8399572,306991,378428,134614
R1.S1.LT2.PON1.ONT47,4542655,202361,420171,136751
R1.S1.LT2.PON13.ONT6,25668386,901230,1329765,510084
R1.S1.LT2.PON14.ONT9,1181228,52728,99971,32526
R1.S1.LT6.PON5.ONT47,8461340,299830,316601,122953
R1.S1.LT6.PON11.ONT4,21257569,787574,844868,367510
R1.S1.LT7.PON15.ONT5,3470,589,4212,1455
R1.S1.LT2.PON1.ONT48,4335755,169072,200790,76577
R1.S1.LT2.PON13.ONT3,10940945,362654,471718,205520
R1.S1.LT6.PON5.ONT48,3398997,160027,244836,66638
R1.S1.LT6.PON6.ONT47,183,76,1392,447
R1.S1.LT2.PON13.ONT4,76,46,325,74
R1.S1.LT2.PON14.ONT7,4361,1336,6010,1521
R1.S1.LT2.PON16.ONT5,5664798,235260,936924,106156
R1.S1.LT7.PON15.ONT3,2251824,82195,76526,30105
R1.S1.LT4.PON12.ONT4,206,85,1205,332
R1.S1.LT2.PON13.ONT9,8164884,320387,1307084,203890
R1.S1.LT4.PON13.ONT3,4176334,150705,250655,69674
R1.S1.LT5.PON16.ONT5,8561460,317471,322457,139566
R1.S1.LT6.PON10.ONT8,630245,29071,49744,21302
R1.S1.LT6.PON11.ONT7,265,98,1064,241
R1.S1.LT6.PON12.ONT6,33443652,1181531,1257513,555427
R1.S1.LT7.PON11.ONT8,3716782,133904,107543,45525
R1.S1.LT7.PON12.ONT3,18612,1200,8784,2042
R1.S1.LT4.PON13.ONT4,4729432,160976,149484,86126
R1.S1.LT5.PON16.ONT6,316129,14825,39464,12579
R1.S1.LT6.PON10.ONT5,2988292,102096,93055,53233
R1.S1.LT6.PON11.ONT8,0,0,0,0
R1.S1.LT6.PON12.ONT3,153,62,1413,300
R1.S1.LT7.PON11.ONT5,1397319,56354,67858,21901
R1.S1.LT7.PON12.ONT4,48466,5364,36615,6814
R1.S1.LT2.PON13.ONT7,28968815,1015753,1361525,610219
R1.S1.LT6.PON10.ONT6,6813839,241103,297432,134560
R1.S1.LT6.PON11.ONT5,85,60,0,0
R1.S1.LT6.PON12.ONT4,1538819,72517,105237,38596
R1.S1.LT7.PON10.ONT3,980042,82492,1806775,80053
R1.S1.LT7.PON11.ONT6,34271031,1312034,5752421,682900
R1.S1.LT2.PON13.ONT8,2318020,88031,70065,25342
R1.S1.LT5.PON16.ONT4,1765,350,4271,1306
R1.S1.LT6.PON5.ONT49,0,0,0,0
R1.S1.LT6.PON10.ONT3,2740522,117697,871630,98351
R1.S1.LT6.PON11.ONT6,973553,37209,51607,21304
R1.S1.LT7.PON10.ONT4,2120861,84855,112035,38066
R1.S1.LT7.PON11.ONT3,2998218,117423,268901,72014
R1.S1.LT7.PON12.ONT7,8620536,327496,458472,143189
R1.S1.LT3.PON7.ONT49,0,0,0,0
R1.S1.LT2.PON1.ONT42,1699,1180,1128,374
R1.S1.LT6.PON6.ONT41,7988576,304384,309853,97930
R1.S1.LT2.PON16.ONT2,10585252,378491,665813,193245
R1.S1.LT4.PON12.ONT8,272,104,1083,312
R1.S1.LT4.PON13.ONT7,4829,1183,18160,7655
R1.S1.LT5.PON16.ONT9,1734208,68606,89677,38701
R1.S1.LT7.PON10.ONT9,7546,2492,75727,4811
R1.S1.LT6.PON5.ONT42,1074,162,3172,820
R1.S1.LT6.PON7.ONT48,2111,253,4383,1021
R1.S1.LT4.PON12.ONT5,24238,5055,19744,4696
R1.S1.LT6.PON6.ONT42,1058826,41024,52109,16123
R1.S1.LT6.PON8.ONT48,12876897,440893,204417,77731
R1.S1.LT6.PON10.ONT9,5256225,225517,1449861,169484
R1.S1.LT6.PON12.ONT7,8235077,324093,410571,166276
R1.S1.LT7.PON12.ONT8,3398846,118587,133768,58817
R1.S1.LT4.PON12.ONT6,3284317,137791,251687,96143
R1.S1.LT2.PON1.ONT40,98578,5128,10241,2630
R1.S1.LT3.PON7.ONT47,4107,2162,994,327
R1.S1.LT4.PON13.ONT5,69243,14956,92980,24044
R1.S1.LT5.PON16.ONT7,2721,271,5166,1167
R1.S1.LT6.PON11.ONT9,6570520,262641,345506,119004
R1.S1.LT6.PON12.ONT8,0,0,0,0
R1.S1.LT7.PON10.ONT7,3660,631,5860,567
R1.S1.LT7.PON12.ONT5,1871818,67393,85200,33717
R1.S1.LT3.PON7.ONT48,14778,6054,7336,3500
R1.S1.LT4.PON12.ONT3,2960678,111524,487237,69955
R1.S1.LT4.PON13.ONT6,98891,9190,34868,8621
R1.S1.LT5.PON16.ONT8,10008001,392234,816279,205706
R1.S1.LT6.PON6.ONT40,1333205,48098,59544,26690
R1.S1.LT6.PON10.ONT7,3490651,150029,277809,130286
R1.S1.LT6.PON12.ONT5,186,71,1304,282
R1.S1.LT7.PON12.ONT6,3761900,164978,433855,72800
R1.S1.LT2.PON13.ONT1,2097,217,4204,906
R1.S1.LT3.PON8.ONT40,11785518,415391,319187,137177
R1.S1.LT6.PON5.ONT46,2564,256,5038,1245
R1.S1.LT7.PON9.ONT47,233391,12808,44129,8732
R1.S1.LT2.PON1.ONT43,5727523,232558,179413,69233
R1.S1.LT4.PON12.ONT9,628794,175494,5724606,285307
R1.S1.LT6.PON5.ONT43,4619808,169898,136000,51257
R1.S1.LT6.PON6.ONT46,528089,22678,57213,16090
R1.S1.LT6.PON7.ONT49,2258,250,5130,1348
R1.S1.LT6.PON9.ONT47,366,166,2123,800
R1.S1.LT7.PON9.ONT48,631,319,1784,684
R1.S1.LT7.PON15.ONT1,27748,3028,21045,3072
R1.S1.LT6.PON5.ONT44,5944900,218265,346786,139459
R1.S1.LT6.PON9.ONT48,4283863,163285,192554,72964
R1.S1.LT7.PON12.ONT9,2756,307,5526,1078
R1.S1.LT7.PON15.ONT2,195,71,1206,200
R1.S1.LT2.PON1.ONT41,14704,2211,8591,2110
R1.S1.LT2.PON16.ONT1,271,101,1385,352
R1.S1.LT4.PON12.ONT7,192,75,1180,314
R1.S1.LT6.PON5.ONT41,2185,229,4411,1045
R1.S1.LT6.PON12.ONT9,0,0,0,0
R1.S1.LT3.PON7.ONT52,2461530,93915,96172,43178
R1.S1.LT6.PON8.ONT50,0,0,0,0
R1.S1.LT3.PON7.ONT53,11814,4393,16932,7376
R1.S1.LT6.PON8.ONT51,1858578,115810,1435200,154327
R1.S1.LT3.PON7.ONT50,994845,43159,60594,14993
R1.S1.LT2.PON1.ONT56,4350780,193970,215248,80751
R1.S1.LT3.PON7.ONT51,3159,1708,1277,392
R1.S1.LT6.PON5.ONT56,4774302,174362,111782,35237
R1.S1.LT6.PON7.ONT55,4333183,147412,41492,20435
R1.S1.LT6.PON8.ONT54,231,88,1020,345
R1.S1.LT6.PON9.ONT53,111505,5859,24284,4472
R1.S1.LT7.PON9.ONT50,0,0,0,0
R1.S1.LT6.PON7.ONT52,2217794,80774,89639,33689
R1.S1.LT6.PON8.ONT55,11457,1065,4864,1514
R1.S1.LT6.PON9.ONT50,5628358,201477,220790,97185
R1.S1.LT7.PON9.ONT51,4471755,177640,160860,54610
R1.S1.LT3.PON7.ONT54,5464088,206623,198520,63790
R1.S1.LT6.PON7.ONT53,172273,10910,62057,10840
R1.S1.LT6.PON8.ONT52,6308182,224908,272120,123257
R1.S1.LT6.PON9.ONT51,196,100,1488,465
R1.S1.LT6.PON7.ONT50,36027187,1260686,1894935,808869
R1.S1.LT6.PON8.ONT53,5269590,279536,4393602,229444
R1.S1.LT7.PON9.ONT54,466,236,1090,342
R1.S1.LT8.PON15.ONT39,9108659,354425,135316,40871
R1.S1.LT6.PON7.ONT56,79,54,314,156
R1.S1.LT6.PON9.ONT54,277995,13671,98599,10100
R1.S1.LT8.PON15.ONT36,951,156,2755,701
R1.S1.LT6.PON7.ONT57,317,158,1363,492
R1.S1.LT6.PON8.ONT56,1957,255,2413,776
R1.S1.LT7.PON9.ONT52,3298,606,5070,1339
R1.S1.LT6.PON7.ONT54,5762858,197925,176147,77108
R1.S1.LT6.PON8.ONT57,494,317,1347,433
R1.S1.LT6.PON9.ONT52,220,95,1315,436
R1.S1.LT7.PON9.ONT53,1334,859,1158,373
R1.S1.LT7.PON9.ONT56,518,281,1243,390
R1.S1.LT7.PON9.ONT57,731,384,840,255
R1.S1.LT8.PON15.ONT38,1952,1331,1400,463
R1.S1.LT8.PON15.ONT20,4710726,171119,165777,69471
R1.S1.LT6.PON5.ONT58,19292042,690213,441061,211833
R1.S1.LT6.PON5.ONT59,166,71,1466,480
R1.S1.LT6.PON6.ONT58,21654439,784624,499668,190289
R1.S1.LT6.PON6.ONT59,2005,1363,1200,391
R1.S1.LT8.PON15.ONT22,2954898,107814,196051,43290
R1.S1.LT2.PON1.ONT53,4049,1496,2794,983
R1.S1.LT6.PON5.ONT53,586829,22495,17325,5855
R1.S1.LT6.PON6.ONT52,679511,40397,130313,31880
R1.S1.LT6.PON7.ONT59,223,98,1037,364
R1.S1.LT6.PON8.ONT58,2392406,100614,518426,66509
R1.S1.LT2.PON1.ONT50,138570,7457,19488,5328
R1.S1.LT6.PON5.ONT50,4778309,175798,189259,68143
R1.S1.LT6.PON6.ONT53,55,39,0,0
R1.S1.LT6.PON8.ONT59,1652,290,2062,797
R1.S1.LT6.PON5.ONT51,15545119,572646,1065224,323308
R1.S1.LT6.PON6.ONT50,39740866,1463168,1095794,439935
R1.S1.LT6.PON6.ONT51,2676827,100334,162422,68170
R1.S1.LT8.PON15.ONT23,156,64,1191,404
R1.S1.LT6.PON5.ONT57,6937466,281462,731408,144809
R1.S1.LT6.PON6.ONT56,259,124,1319,465
R1.S1.LT7.PON9.ONT58,455,243,1317,447
R1.S1.LT2.PON1.ONT54,2130,1278,2354,885
R1.S1.LT6.PON5.ONT54,2817,367,6146,1586
R1.S1.LT6.PON6.ONT57,1925961,151281,313398,101207
R1.S1.LT7.PON9.ONT59,9946837,355706,419986,205152
R1.S1.LT2.PON1.ONT55,1602,1169,1581,489
R1.S1.LT6.PON5.ONT55,4604262,171604,130480,36612
R1.S1.LT6.PON6.ONT54,5728352,220487,336015,117389
R1.S1.LT2.PON1.ONT52,2110755,75676,49482,19532
R1.S1.LT6.PON5.ONT52,671222,24890,45344,15851
R1.S1.LT6.PON6.ONT55,6565069,238056,271444,126211
R1.S1.LT6.PON7.ONT62,2609,388,4757,1073
R1.S1.LT6.PON8.ONT61,332,182,1193,360
R1.S1.LT6.PON8.ONT62,4019153,146218,177082,75977
R1.S1.LT6.PON5.ONT60,690480,31415,55258,14153
R1.S1.LT6.PON7.ONT66,72757,3578,11183,3344
R1.S1.LT7.PON9.ONT61,41150508,1540037,4737299,917409
R1.S1.LT6.PON6.ONT60,297025,19007,119699,11814
R1.S1.LT6.PON7.ONT63,2423300,94690,431857,49670
R1.S1.LT7.PON9.ONT62,52337982,1868374,2154952,890660
R1.S1.LT6.PON7.ONT64,4789581,183814,240566,85568
R1.S1.LT6.PON8.ONT63,205,79,1155,383
R1.S1.LT6.PON7.ONT61,3255839,110834,80312,44574
R1.S1.LT6.PON8.ONT64,1834825,71378,134157,43256
R1.S1.LT8.PON15.ONT47,8979801,341086,609948,217186
R1.S1.LT8.PON15.ONT48,2116690,89591,210628,46431
R1.S1.LT8.PON15.ONT49,1410589,51305,37590,14934
R1.S1.LT8.PON15.ONT31,475594,21138,48018,13300
R1.S1.LT8.PON15.ONT35,1436891,56664,87823,26246
R1.S1.LT8.PON15.ONT33,2271083,84157,123120,49886
R1.S1.LT8.PON15.ONT30,0,0,0,0
R1.S1.LT6.PON5.ONT64,2300762,101744,292612,42104
R1.S1.LT6.PON5.ONT61,146,71,1524,502
R1.S1.LT6.PON5.ONT62,1830,223,3995,903
R1.S1.LT6.PON6.ONT61,3623132,140468,362950,87942
R1.S1.LT6.PON6.ONT62,7852,779,3903,1208
R1.S1.LT8.PON15.ONT34,351590,21031,317012,29688
R1.S1.LT6.PON5.ONT65,227,100,1308,432
R1.S1.LT6.PON5.ONT63,2785304,98993,102187,39824
R1.S1.LT8.PON15.ONT42,30166,6858,14528,4774
R1.S1.LT6.PON7.ONT60,1697,193,3765,984
R1.S1.LT8.PON15.ONT40,726665,27477,28983,10595
R1.S1.LT6.PON8.ONT60,216,100,1282,436
R1.S1.LT8.PON15.ONT46,26932977,946831,1091511,425820
R1.S1.LT8.PON15.ONT43,120,84,339,173
R1.S1.LT8.PON15.ONT44,875472,31912,21310,7346
R1.S1.LT7.PON9.ONT60,2242801,79513,105800,45715
R1.S1.LT8.PON15.ONT41,3831372,144409,123970,39628
R1.S1.LT8.PON15.ONT45,1154941,44791,186552,32326
R1.S1.LT8.PON15.ONT53,190,59,1222,404
R1.S1.LT8.PON15.ONT50,1881864,69285,97802,33698
R1.S1.LT8.PON15.ONT51,210,74,1147,360
R1.S1.LT8.PON15.ONT54,415,189,1985,741
R1.S1.LT8.PON15.ONT52,2000289,71490,145797,13596
R1.S1.LT2.PON13.ONT16,1375418,46984,60959,29533
R1.S1.LT6.PON10.ONT15,5758352,223861,856466,85269
R1.S1.LT6.PON11.ONT14,94002,3491,4668,1801
R1.S1.LT7.PON11.ONT15,66664928,2650471,9322042,1174539
R1.S1.LT2.PON13.ONT17,3869913,140469,170648,45903
R1.S1.LT6.PON11.ONT15,0,0,0,0
R1.S1.LT2.PON13.ONT14,2747075,115079,205684,48928
R1.S1.LT2.PON13.ONT15,5031879,183250,165120,66331
R1.S1.LT2.PON14.ONT18,3969,1297,5079,1149
R1.S1.LT4.PON12.ONT15,34931,2487,11603,3030
R1.S1.LT6.PON10.ONT19,315,155,1187,311
R1.S1.LT6.PON11.ONT18,170,67,1362,373
R1.S1.LT7.PON10.ONT16,2518,389,3972,373
R1.S1.LT7.PON11.ONT19,9883772,383510,336787,99226
R1.S1.LT7.PON12.ONT14,5057396,188914,323297,73434
R1.S1.LT6.PON10.ONT16,7308280,262355,333150,72718
R1.S1.LT6.PON11.ONT19,216,100,1210,353
R1.S1.LT7.PON10.ONT17,110,75,308,78
R1.S1.LT7.PON11.ONT16,3666720,145502,205697,89096
R1.S1.LT5.PON16.ONT14,2306,330,5190,1402
R1.S1.LT6.PON10.ONT17,255,99,1011,295
R1.S1.LT6.PON11.ONT16,8334025,301258,394474,133027
R1.S1.LT7.PON10.ONT14,2546984,116938,140159,51704
R1.S1.LT7.PON11.ONT17,269,114,1330,463
R1.S1.LT2.PON13.ONT19,12963196,552745,1964413,227511
R1.S1.LT5.PON16.ONT15,2140447,79105,58004,17934
R1.S1.LT6.PON10.ONT14,1324,190,3086,709
R1.S1.LT6.PON11.ONT17,751981,26795,27104,7929
R1.S1.LT7.PON10.ONT15,505913,21055,24055,9879
R1.S1.LT7.PON11.ONT14,5940014,217878,237263,102189
R1.S1.LT4.PON12.ONT19,304315,11103,11900,4565
R1.S1.LT7.PON12.ONT18,158,72,1210,322
R1.S1.LT2.PON14.ONT12,0,0,0,0
R1.S1.LT4.PON12.ONT16,213,83,1178,316
R1.S1.LT7.PON12.ONT19,5797839,202029,193113,94904
R1.S1.LT2.PON14.ONT13,5178664,182952,145611,71245
R1.S1.LT4.PON12.ONT17,1101642,44176,77277,25820
R1.S1.LT5.PON16.ONT18,4794883,174408,210444,92904
R1.S1.LT7.PON10.ONT18,1014164,91049,1810175,91081
R1.S1.LT7.PON12.ONT16,1612,412,4981,1981
R1.S1.LT2.PON14.ONT10,4336894,167705,125089,56514
R1.S1.LT4.PON12.ONT14,3636782,130004,107562,48236
R1.S1.LT5.PON16.ONT19,1521825,59011,84288,26419
R1.S1.LT6.PON10.ONT18,242,105,1445,409
R1.S1.LT7.PON10.ONT19,1306986,51686,1016410,61362
R1.S1.LT7.PON11.ONT18,236,92,1046,332
R1.S1.LT7.PON12.ONT17,2507,372,4638,1016
R1.S1.LT6.PON10.ONT11,92,63,311,115
R1.S1.LT6.PON11.ONT10,172,69,1215,325
R1.S1.LT7.PON11.ONT11,1989,285,4758,1287
R1.S1.LT6.PON11.ONT11,23781792,811508,346231,153930
R1.S1.LT2.PON13.ONT11,4132258,147080,141476,53350
R1.S1.LT4.PON12.ONT18,226,92,1074,297
R1.S1.LT2.PON14.ONT15,1875696,71988,78542,20055
R1.S1.LT2.PON14.ONT16,1952,1248,2108,786
R1.S1.LT2.PON14.ONT17,45716140,1684309,1668003,545045
R1.S1.LT2.PON14.ONT14,4340780,151856,157618,62636
R1.S1.LT4.PON12.ONT11,179,81,1360,391
R1.S1.LT5.PON16.ONT12,1285,315,2241,545
R1.S1.LT7.PON12.ONT10,651948,31074,73301,20555
R1.S1.LT5.PON16.ONT13,14356200,598692,1731406,404030
R1.S1.LT6.PON12.ONT10,157,72,1447,321
R1.S1.LT7.PON11.ONT12,3072,613,4871,1059
R1.S1.LT7.PON12.ONT11,1229,169,2544,514
R1.S1.LT5.PON16.ONT10,67757734,2534867,3452124,1371879
R1.S1.LT6.PON10.ONT13,5059559,184875,147693,75167
R1.S1.LT6.PON11.ONT12,2729,405,3360,952
R1.S1.LT6.PON12.ONT11,246,92,1489,372
R1.S1.LT5.PON16.ONT11,8346937,286201,273261,119820
R1.S1.LT6.PON10.ONT10,3153966,121206,79016,24913
R1.S1.LT6.PON11.ONT13,6296820,220569,421166,129264
R1.S1.LT7.PON11.ONT10,831846,34714,63785,26977
R1.S1.LT4.PON12.ONT12,788420,33734,85091,23879
R1.S1.LT4.PON12.ONT13,550,125,2183,735
R1.S1.LT4.PON12.ONT10,175,70,1256,349
R1.S1.LT6.PON12.ONT12,10831902,417745,462379,148007
R1.S1.LT7.PON12.ONT13,192,68,1221,332
R1.S1.LT2.PON13.ONT38,4033,912,10529,2798
R1.S1.LT7.PON11.ONT37,1906559,68768,96696,38557
R1.S1.LT2.PON13.ONT36,29583,2685,20250,3717
R1.S1.LT2.PON13.ONT37,1975,218,4251,962
R1.S1.LT2.PON14.ONT33,1641,1095,1171,379
R1.S1.LT5.PON16.ONT38,43114365,1466183,1255559,704437
R1.S1.LT7.PON10.ONT38,271994,13109,39023,10923
R1.S1.LT2.PON14.ONT30,18972,4743,44824,13690
R1.S1.LT5.PON16.ONT39,42042,3442,19496,4365
R1.S1.LT7.PON10.ONT39,3897490,139222,415570,85799
R1.S1.LT7.PON11.ONT38,2685,468,5013,1408
R1.S1.LT2.PON14.ONT31,8564507,329715,1635710,221487
R1.S1.LT5.PON16.ONT36,846,128,2735,741
R1.S1.LT7.PON10.ONT36,5667846,197283,233837,100165
R1.S1.LT7.PON11.ONT39,1397,162,3648,860
R1.S1.LT5.PON16.ONT37,8250814,401843,1220673,197469
R1.S1.LT7.PON11.ONT36,356789,38689,95478,22253
R1.S1.LT2.PON13.ONT30,3399791,143282,211459,64233
R1.S1.LT2.PON14.ONT35,1860,1197,2068,786
R1.S1.LT2.PON14.ONT32,8789494,314207,385811,171985
R1.S1.LT2.PON13.ONT34,5034527,186592,179204,68599
R1.S1.LT5.PON16.ONT30,1076,155,3111,892
R1.S1.LT7.PON10.ONT30,8918077,303740,57879,31660
R1.S1.LT2.PON13.ONT35,210,81,1076,358
R1.S1.LT5.PON16.ONT31,3207,597,4286,1532
R1.S1.LT7.PON10.ONT31,1844902,76217,164867,50702
